time,balance,dax
1,1000.0,956.48999
2,1041.4118144613306,996.099976
3,1051.772648451867,1006.01001
4,1060.6174467126414,1014.469971
5,1073.3932939538656,1026.689941
6,1032.4415627182882,987.52002
7,1031.782899264842,986.890015
8,1009.7021715825795,965.77002
9,1018.7874752353652,974.460022
10,995.7867117877519,952.460022
11,1048.7616341912785,1003.130005
12,1024.7676434125565,980.179993
13,1004.129695073965,960.440002
14,992.4202029547636,949.23999
15,1010.4444271288189,966.47998
16,1006.4193196627178,962.630005
17,1012.3054293542579,968.26001
18,1003.3246484890028,959.669983
19,980.4180073018848,937.76001
20,978.5779357711833,936.0
21,994.7830191092745,951.5
22,999.1426914985276,955.669983
23,1016.4141937334856,972.190002
24,1035.2643324578855,990.219971
25,1023.9312645603324,979.380005
26,1031.8456254832313,986.950012
27,1028.0400299850494,983.309998
28,1042.4991640529345,997.140015
29,1071.3023154586278,1024.689941
30,1080.5026720666463,1033.48999
31,1097.0841168970305,1049.349976
32,1103.79620386827,1055.77002
33,1101.182480749223,1053.27002
34,1099.7918974562397,1051.939941
35,1094.3972649415805,1046.780029
36,1107.674927157366,1059.47998
37,1117.6594007010983,1069.030029
38,1118.5689711190803,1069.900024
39,1141.2455722615553,1091.589966
40,1128.5011189714585,1079.400024
41,1132.6202859687003,1083.339966
42,1136.7813122644382,1087.319946
43,1129.5883410133747,1080.439941
44,1131.4702728880616,1082.23999
45,1124.0368600198308,1075.130005
46,1126.3787454796045,1077.369995
47,1128.522049666196,1079.420044
48,1127.685607039128,1078.619995
49,1131.7839708913205,1082.540039
50,1122.280381627412,1073.449951
51,1120.6494853124384,1071.890015
52,1137.628220238875,1088.130005
53,1148.741776168509,1098.76001
54,1154.502432377781,1104.27002
55,1174.366728082538,1123.27002
56,1162.1867522105479,1111.619995
57,1157.4611209470152,1107.099976
58,1166.8809884774637,1116.109985
59,1150.508591313119,1100.449951
60,1114.1883053057347,1065.709961
61,1084.4441874399533,1037.26001
62,1110.6545464213368,1062.329956
63,1115.014282585434,1066.5
64,1110.6545464213368,1062.329956
65,1111.6478375272898,1063.280029
66,1121.8308933896935,1073.02002
67,1131.1148420905054,1081.900024
68,1127.4660950712082,1078.410034
69,1137.743208373774,1088.23999
70,1152.4741163260883,1102.329956
71,1143.8906903772186,1094.119995
72,1142.8452011296,1093.119995
73,1119.959425816886,1071.22998
74,1124.0368600198306,1075.130005
75,1132.7352741035995,1083.449951
76,1124.6955234732766,1075.76001
77,1116.059771833053,1067.5
78,1115.5998182479664,1067.060059
79,1115.348782688253,1066.819946
80,1101.6424343343097,1053.709961
81,1102.2593649934583,1054.300049
82,1106.3889962925796,1058.25
83,1096.895999925728,1049.170044
84,1100.7328639163275,1052.839966
85,1088.3019810798014,1040.949951
86,1095.034998745778,1047.390015
87,1092.1808329640744,1044.660034
88,1084.4232567452161,1037.23999
89,1070.1836984200945,1023.619995
90,1056.1009885738576,1010.150024
91,1039.582208277997,994.349976
92,1052.7762773555,1006.969971
93,1097.3350238615665,1049.589966
94,1093.9581134560535,1046.359985
95,1090.6543318869437,1043.199951
96,1066.7335964488238,1020.320007
97,1078.2443797451551,1031.329956
98,1078.8613104043038,1031.920044
99,1091.0830180251019,1043.609985
100,1094.229951115327,1046.619995
101,1102.9075630995358,1054.920044
102,1113.0382922250963,1064.609985
103,1124.5909996402568,1075.660034
104,1145.2603429754652,1095.430054
105,1152.160545872518,1102.030029
106,1156.217049380725,1105.910034
107,1151.2195804579192,1101.130005
108,1147.6022284352387,1097.670044
109,1176.865462021196,1125.660034
110,1166.536023027276,1115.780029
111,1173.31077348755,1122.26001
112,1168.6896650115482,1117.839966
113,1185.6057374944394,1134.02002
114,1175.2762985005195,1124.140015
115,1154.9519206154985,1104.699951
116,1170.4880037479522,1119.560059
117,1188.9617161597257,1137.22998
118,1187.435343677772,1135.77002
119,1182.6469203300273,1131.189941
120,1190.6449392115421,1138.839966
121,1175.8931005644906,1124.72998
122,1185.0829928706296,1133.52002
123,1185.3862255265196,1133.810059
124,1206.1600916492587,1153.680054
125,1223.6823732990647,1170.439941
126,1230.959065238099,1177.400024
127,1249.317790560462,1194.959961
128,1240.3893991614052,1186.420044
129,1254.503504004259,1199.920044
130,1245.7318335343987,1191.530029
131,1236.259640312596,1182.469971
132,1220.8596035594671,1167.73999
133,1239.0616069071446,1185.150024
134,1243.7035185281957,1189.589966
135,1242.4594469619058,1188.400024
136,1221.7377789808327,1168.579956
137,1223.002907746059,1169.790039
138,1234.775127129139,1181.050049
139,1208.8469425592202,1156.25
140,1202.0721931444355,1149.77002
141,1220.7655450738164,1167.650024
142,1230.0180998235005,1176.5
143,1216.186297987289,1163.27002
144,1232.140473315355,1178.530029
145,1244.8327284637858,1190.670044
146,1241.1107250583975,1187.109985
147,1246.6623346471188,1192.420044
148,1236.7928492382857,1182.97998
149,1248.1782428271931,1193.869995
150,1256.9708429463017,1202.280029
151,1247.7495566890352,1193.459961
152,1228.4394006047046,1174.98999
153,1215.6530880161117,1162.76001
154,1225.9511309679256,1172.609985
155,1223.6823732990658,1170.439941
156,1211.3142815012625,1158.609985
157,1228.4812609486899,1175.030029
158,1234.085068679077,1180.390015
159,1217.440833855459,1164.469971
160,1219.0195320287667,1165.97998
161,1203.839008289046,1151.459961
162,1214.5240056302098,1161.680054
163,1217.6290773309602,1164.650024
164,1209.1919080094076,1156.579956
165,1203.3267290126048,1150.969971
166,1217.2631822315245,1164.300049
167,1222.6578147461837,1169.459961
168,1206.8395572022653,1154.329956
169,1205.3655093661764,1152.920044
170,1226.80850428973,1173.430054
171,1230.3004028301425,1176.77002
172,1236.3328956531986,1182.540039
173,1240.8493527464925,1186.859985
174,1240.5670507853397,1186.589966
175,1254.40931796892,1199.829956
176,1266.3383858308848,1211.23999
177,1279.731164776747,1224.050049
178,1282.2089690661571,1226.420044
179,1285.1990526320083,1229.280029
180,1305.2619306554363,1248.469971
181,1299.5849951341352,1243.040039
182,1315.016426883881,1257.800049
183,1306.9346873143954,1250.069946
184,1307.321513108568,1250.439941
185,1312.0158779706612,1254.930054
186,1309.5171429865138,1252.540039
187,1296.3021432142737,1239.900024
188,1304.7810463756125,1248.01001
189,1310.7090164111378,1253.680054
190,1299.8359020986713,1243.280029
191,1301.9059509446606,1245.26001
192,1309.224375677992,1252.26001
193,1314.7863220189047,1257.579956
194,1322.6066892764857,1265.060059
195,1342.0632284923327,1283.670044
196,1333.5424660324975,1275.52002
197,1320.4529197425254,1263.0
198,1327.00815823488,1269.27002
199,1342.9414039136977,1284.51001
200,1341.1013323829961,1282.75
201,1358.707335766262,1299.589966
202,1368.7858667501566,1309.22998
203,1347.0501045180815,1288.439941
204,1356.6268226183931,1297.599976
205,1346.7051390678942,1288.109985
206,1348.7542572191464,1290.069946
207,1367.5939943710218,1308.089966
208,1379.261689921082,1319.25
209,1374.5151279628121,1314.709961
210,1367.7613081972754,1308.25
211,1364.3320731458978,1304.969971
212,1358.8327892485304,1299.709961
213,1333.709779858751,1275.680054
214,1348.0224659747867,1289.369995
215,1328.8482287200925,1271.030029
216,1343.0354623993492,1284.599976
217,1341.7913908330593,1283.410034
218,1324.551283594718,1266.920044
219,1309.0675261536182,1252.109985
220,1309.8202480927155,1252.829956
221,1322.9621190285523,1265.400024
222,1318.654708555809,1261.280029
223,1336.3966307687117,1278.25
224,1345.5341963380074,1286.98999
225,1333.040651057936,1275.040039
226,1341.4462978331835,1283.079956
227,1338.6966558845,1280.449951
228,1333.6993145113822,1275.670044
229,1318.9370115624513,1261.550049
230,1316.4695440252324,1259.189941
231,1331.702394501796,1273.76001
232,1339.9094589583726,1281.609985
233,1329.9563814567462,1272.089966
234,1339.6062263024828,1281.319946
235,1351.5143645151995,1292.709961
236,1359.8260803544838,1300.660034
237,1357.0659741039208,1298.02002
238,1359.9306041875038,1300.76001
239,1352.0580387882571,1293.22998
240,1346.684209418647,1288.089966
241,1353.4067617372552,1294.52002
242,1340.6099827558046,1282.280029
243,1357.369206759811,1298.310059
244,1369.9882055221506,1310.380005
245,1392.0898638991503,1331.52002
246,1381.8126220014071,1321.689941
247,1385.0537411269715,1324.790039
248,1386.5277889630604,1326.199951
249,1403.5274545842342,1342.459961
250,1392.9994343171322,1332.390015
251,1390.741140950152,1330.22998
252,1386.276881998524,1325.959961
253,1418.3734782211357,1356.660034
254,1432.090291922448,1369.780029
255,1434.829468523763,1372.400024
256,1418.185233700145,1356.47998
257,1429.2778599805308,1367.089966
258,1411.3059604523403,1349.900024
259,1413.951079613493,1352.430054
260,1422.5031095202567,1360.609985
261,1418.4152110154328,1356.699951
262,1404.6983973141205,1343.579956
263,1388.6920238443886,1328.27002
264,1376.836211323026,1316.930054
265,1400.9346611144347,1339.97998
266,1390.3021180598018,1329.810059
267,1373.0306147793547,1313.290039
268,1386.9564751012176,1326.609985
269,1406.8417015007117,1345.630005
270,1391.3371419600521,1330.800049
271,1402.8583257834189,1341.819946
272,1396.710843779974,1335.939941
273,1384.5831946448272,1324.339966
274,1365.335829599219,1305.930054
275,1373.4174405735275,1313.660034
276,1389.4447447379966,1328.98999
277,1393.2817362782844,1332.660034
278,1405.973991426715,1344.800049
279,1418.2480247388671,1356.540039
280,1411.1177169768382,1349.719971
281,1408.4517957161254,1347.170044
282,1396.2508901948875,1335.5
283,1394.640795979474,1333.959961
284,1381.3003427249657,1321.199951
285,1382.7535884614945,1322.589966
286,1379.9726790658822,1319.930054
287,1380.913516930793,1320.829956
288,1370.2077174900692,1310.589966
289,1355.0690530488448,1296.109985
290,1330.991405356996,1273.079956
291,1342.8786128749753,1284.449951
292,1327.4368443730382,1269.680054
293,1348.4616174603132,1289.790039
294,1365.1475850782283,1305.75
295,1362.54432730655,1303.26001
296,1385.1582649599907,1324.890015
297,1393.292201625653,1332.670044
298,1391.5566539279714,1331.01001
299,1374.4733951685148,1314.670044
300,1375.7174656893155,1315.859985
301,1380.4221673036,1320.359985
302,1369.9672748274122,1310.359985
303,1389.4761407801022,1329.02002
304,1393.2817362782841,1332.660034
305,1383.851403400467,1323.640015
306,1385.8064630660679,1325.51001
307,1358.257846483055,1299.160034
308,1361.40477957328,1302.170044
309,1368.32591316507,1308.790039
310,1363.0670719303594,1303.76001
311,1367.7508428499066,1308.23999
312,1370.2809728306709,1310.660034
313,1375.8638498663206,1316.0
314,1379.9203533745276,1319.880005
315,1400.3597193944481,1339.430054
316,1402.9420464713892,1341.900024
317,1407.8453304043448,1346.589966
318,1412.9577874620504,1351.47998
319,1407.3016550857985,1346.069946
320,1424.5731583662457,1362.589966
321,1434.0662822827856,1371.670044
322,1442.0433704695631,1379.300049
323,1459.8584204733797,1396.339966
324,1441.0500793636102,1378.349976
325,1459.1788263251963,1395.689941
326,1453.8677869488197,1390.609985
327,1454.317403781715,1391.040039
328,1450.3758894538964,1387.27002
329,1438.5200769325338,1375.930054
330,1435.9690162570323,1373.48999
331,1430.856559199327,1368.599976
332,1436.7008075013923,1374.189941
333,1437.296808511293,1374.76001
334,1436.5440865721957,1374.040039
335,1420.8826785526512,1359.060059
336,1428.0023934176234,1365.869995
337,1443.0679290224443,1380.280029
338,1442.1269636078455,1379.380005
339,1431.713931475643,1369.420044
340,1430.365209572134,1368.130005
341,1429.5706272890513,1367.369995
342,1409.591343449395,1348.26001
343,1399.8369747706386,1338.930054
344,1399.2619044554751,1338.380005
345,1410.0200295875532,1348.670044
346,1415.6760344141169,1354.079956
347,1413.0623112950698,1351.579956
348,1409.9363088995822,1348.589966
349,1431.8498503052795,1369.550049
350,1436.0318072957548,1373.550049
351,1441.3428466721314,1378.630005
352,1466.3717975762595,1402.569946
353,1471.055697090984,1407.050049
354,1470.9615110556447,1406.959961
355,1482.3259739498146,1417.829956
356,1486.4138724546385,1421.73999
357,1473.0420242035136,1408.949951
358,1494.9451002618423,1429.900024
359,1505.50451657105,1440.0
360,1502.2635249951738,1436.900024
361,1499.0433365643469,1433.819946
362,1490.637689789099,1425.780029
363,1498.4369988022545,1433.23999
364,1491.0559116253778,1426.180054
365,1495.2691360627816,1430.209961
366,1519.7126798995548,1453.589966
367,1544.386200006127,1477.189941
368,1537.2664851411548,1470.380005
369,1552.8652307171537,1485.300049
370,1552.8756960645223,1485.310059
371,1554.4229992412133,1486.790039
372,1542.18023337599,1475.079956
373,1559.9327484859493,1492.060059
374,1555.8553142830049,1488.160034
375,1544.4175960482328,1477.219971
376,1552.9697535046846,1485.400024
377,1580.6542889173343,1511.880005
378,1564.8988224121385,1496.810059
379,1554.4229992412133,1486.790039
380,1576.472331926859,1507.880005
381,1589.7709248373817,1520.599976
382,1571.746699617837,1503.359985
383,1580.1420096408933,1511.390015
384,1582.4107673097528,1513.560059
385,1597.089349570713,1527.599976
386,1599.8494558212763,1530.23999
387,1584.564408248536,1515.619995
388,1604.9514485771024,1535.119995
389,1616.838656095082,1546.48999
390,1627.1785604363704,1556.380005
391,1625.2966285616837,1554.579956
392,1620.5187991564853,1550.01001
393,1641.9931890766557,1570.550049
394,1636.0547536937618,1564.869995
395,1625.3070939090526,1554.589966
396,1619.1283444586793,1548.680054
397,1648.0988107361152,1576.390015
398,1662.4638225435049,1590.130005
399,1646.352797691065,1574.719971
400,1657.487283269947,1585.369995
401,1656.3477355366772,1584.280029
402,1677.6338819813463,1604.640015
403,1675.8042757980134,1602.890015
404,1689.07147266643,1615.579956
405,1683.6768401517706,1610.420044
406,1658.9300636591072,1586.75
407,1639.222616433235,1567.900024
408,1663.5719742346691,1591.189941
409,1646.0914253791602,1574.469971
410,1644.5336558096114,1572.97998
411,1666.9594775372384,1594.430054
412,1673.514587434416,1600.699951
413,1667.2730469453202,1594.72998
414,1665.3075229778397,1592.849976
415,1677.4561028077237,1604.469971
416,1673.8178200903062,1600.98999
417,1667.126663813804,1594.589966
418,1661.2928798136181,1589.01001
419,1667.2416519487035,1594.699951
420,1681.1990358623605,1608.050049
421,1695.8358853290233,1622.050049
422,1711.2568517314005,1636.800049
423,1713.9437026413616,1639.369995
424,1713.0655272199963,1638.530029
425,1729.7305651886634,1654.469971
426,1715.7106463811492,1641.060059
427,1704.6597528950606,1630.48999
428,1682.882257868688,1609.660034
429,1683.1227005313447,1609.890015
430,1680.1848140616703,1607.079956
431,1669.7299215854825,1597.079956
432,1686.4996098913687,1613.119995
433,1691.5492769558407,1617.949951
434,1688.6846468722576,1615.209961
435,1699.9864473228824,1626.02002
436,1709.4272455480682,1635.050049
437,1691.549276955841,1617.949951
438,1657.1632485144976,1585.060059
439,1658.39685368793,1586.23999
440,1642.0872475623078,1570.640015
441,1650.294312018884,1578.48999
442,1669.426816479281,1596.790039
443,1690.357532126394,1616.810059
444,1689.27018253479,1615.77002
445,1703.7397171297105,1629.609985
446,1710.577257583218,1636.150024
447,1718.4393576350963,1643.670044
448,1683.7499679426855,1610.48999
449,1681.1676408657445,1608.02002
450,1668.214013405409,1595.630005
451,1448.9540387139855,1385.910034
452,1544.3653979065682,1477.170044
453,1569.7916399522376,1501.48999
454,1591.5378675316813,1522.290039
455,1589.154121727922,1520.01001
456,1587.303584849852,1518.23999
457,1576.859157721033,1508.25
458,1546.5085745434715,1479.219971
459,1560.8318535565638,1492.920044
460,1534.0568896073855,1467.310059
461,1524.1247417550069,1457.810059
462,1531.5058289318838,1464.869995
463,1540.3088943983607,1473.290039
464,1532.2690162183496,1465.599976
465,1510.8678816387812,1445.130005
466,1510.4601251498711,1444.73999
467,1497.3391838632822,1432.189941
468,1502.2530606932946,1436.890015
469,1531.1294684850793,1464.51001
470,1558.7930732029915,1490.969971
471,1597.162604911316,1527.670044
472,1571.1508272031144,1502.790039
473,1568.4743130453448,1500.22998
474,1584.606268592522,1515.660034
475,1597.0893495707137,1527.599976
476,1603.5191335353113,1533.75
477,1582.9335119335628,1514.060059
478,1602.8081443905112,1533.069946
479,1620.3097525359346,1549.810059
480,1631.00508662929,1560.040039
481,1618.3442275229652,1547.930054
482,1637.0583825973954,1565.829956
483,1627.209955432988,1556.410034
484,1676.7661719073494,1603.810059
485,1711.3299795223147,1636.869995
486,1694.8530585249503,1621.109985
487,1729.4065293877243,1654.160034
488,1743.7296808511287,1667.859985
489,1721.3875808569617,1646.48999
490,1727.3782143815217,1652.219971
491,1725.4126893685523,1650.339966
492,1704.4716369692478,1630.310059
493,1703.2065082040215,1629.099976
494,1702.5687743998235,1628.48999
495,1707.702162152266,1633.400024
496,1715.1251107186174,1640.5
497,1748.0161616746236,1671.959961
498,1753.128619777818,1676.849976
499,1762.3185110384677,1685.640015
500,1811.7074126410866,1732.880005
501,1859.005335748468,1778.119995
502,1870.2652758551073,1788.890015
503,1952.231657960162,1867.290039
504,1914.207219251713,1830.920044
505,1895.3674820998376,1812.900024
506,1925.2370544933763,1841.469971
507,1950.3811221275812,1865.52002
508,1926.8890090527755,1843.050049
509,1927.275834846948,1843.420044
510,1945.613629474574,1860.959961
511,1924.0975067601062,1840.380005
512,1888.2581050325462,1806.099976
513,1892.9732709487103,1810.609985
514,1852.2619813303002,1771.670044
515,1856.046647179234,1775.290039
516,1868.372878633052,1787.079956
517,1866.198306999532,1785.0
518,1831.2998706865706,1751.619995
519,1873.0149178037911,1791.52002
520,1880.019644533864,1798.219971
521,1898.2843103250868,1815.689941
522,1897.772031048646,1815.199951
523,1904.0554318817276,1821.209961
524,1937.2079826993267,1852.920044
525,1995.2743687364666,1908.459961
