time,balance,dax
1,1000,956.48999
2,1000,996.099976
3,1009.948835,1006.01001
4,1018.441919,1014.469971
5,1030.709734,1026.689941
6,991.386451,987.52002
7,990.7539793,986.890015
8,969.5512933,965.77002
9,978.2753192,974.460022
10,956.1891828,952.460022
11,1007.057554,1003.130005
12,984.0176856,980.179993
13,964.2004067,960.440002
14,952.9565434,949.23999
15,970.264033,966.47998
16,966.3989842,962.630005
17,972.0510324,968.26001
18,963.4273729,959.669983
19,941.4316159,937.76001
20,939.6647149,936
21,955.225402,951.5
22,959.4117117,955.669983
23,975.9964114,972.190002
24,994.0969731,990.219971
25,983.2145654,979.380005
26,990.8142112,986.950012
27,987.1599455,983.309998
28,1001.044111,997.140015
29,1028.701903,1024.689941
30,1037.536407,1033.48999
31,1053.458489,1049.349976
32,1059.90367,1055.77002
33,1057.393882,1053.27002
34,1056.058595,1051.939941
35,1050.87848,1046.780029
36,1063.628155,1059.47998
37,1073.215596,1069.030029
38,1074.088997,1069.900024
39,1095.863861,1091.589966
40,1083.626192,1079.400024
41,1087.58156,1083.339966
42,1091.577123,1087.319946
43,1084.670181,1080.439941
44,1086.477277,1082.23999
45,1079.339455,1075.130005
46,1081.588215,1077.369995
47,1083.646291,1079.420044
48,1082.843109,1078.619995
49,1086.778501,1082.540039
50,1077.652823,1073.449951
51,1076.086779,1071.890015
52,1092.390354,1088.130005
53,1103.061978,1098.76001
54,1108.593561,1104.27002
55,1127.667952,1123.27002
56,1115.972314,1111.619995
57,1111.434598,1107.099976
58,1120.479883,1116.109985
59,1104.758536,1100.449951
60,1069.882529,1065.709961
61,1041.321188,1037.26001
62,1066.48929,1062.329956
63,1070.675661,1066.5
64,1066.48929,1062.329956
65,1067.443083,1063.280029
66,1077.221209,1073.02002
67,1086.13598,1081.900024
68,1082.632326,1078.410034
69,1092.500769,1088.23999
70,1106.645902,1102.329956
71,1098.403796,1094.119995
72,1097.399881,1093.119995
73,1075.42416,1071.22998
74,1079.339455,1075.130005
75,1087.691976,1083.449951
76,1079.971926,1075.76001
77,1071.679576,1067.5
78,1071.237913,1067.060059
79,1070.996859,1066.819946
80,1057.835545,1053.709961
81,1058.427943,1054.300049
82,1062.39336,1058.25
83,1053.277853,1049.170044
84,1056.962144,1052.839966
85,1045.025576,1040.949951
86,1051.490855,1047.390015
87,1048.750185,1044.660034
88,1041.301089,1037.23999
89,1027.627768,1023.619995
90,1014.105058,1010.150024
